escopo,fonte,ano,regiao,uf,municipio,localidade,tabela_ou_serie,indicador,subcategoria,valor,unidade,notas
BR,atlas_pdf_graficos,1985,BR,,,,serie_1985_2023,ocorrencias_campo,total,404,n,
BR,atlas_pdf_graficos,1985,BR,,,,serie_1985_2023,localidades,total,223,n,
BR,atlas_pdf_graficos,1985,BR,,,,serie_1985_2023,terra,ocorrencias,388,n,
BR,atlas_pdf_graficos,1985,BR,,,,serie_1985_2023,agua,ocorrencias,10,n,
BR,atlas_pdf_graficos,1985,BR,,,,serie_1985_2023,trab_escravo,ocorrencias,5,n,
BR,atlas_pdf_graficos,1985,BR,,,,serie_1985_2023,viol_pessoa,total,302,n,
BR,atlas_pdf_graficos,1986,BR,,,,serie_1985_2023,ocorrencias_campo,total,487,n,
BR,atlas_pdf_graficos,1986,BR,,,,serie_1985_2023,localidades,total,200,n,
BR,atlas_pdf_graficos,1986,BR,,,,serie_1985_2023,terra,ocorrencias,452,n,
BR,atlas_pdf_graficos,1986,BR,,,,serie_1985_2023,agua,ocorrencias,10,n,
BR,atlas_pdf_graficos,1986,BR,,,,serie_1985_2023,trab_escravo,ocorrencias,26,n,
BR,atlas_pdf_graficos,1986,BR,,,,serie_1985_2023,viol_pessoa,total,369,n,
BR,atlas_pdf_graficos,1987,BR,,,,serie_1985_2023,ocorrencias_campo,total,828,n,
BR,atlas_pdf_graficos,1987,BR,,,,serie_1985_2023,localidades,total,309,n,
BR,atlas_pdf_graficos,1987,BR,,,,serie_1985_2023,terra,ocorrencias,778,n,
BR,atlas_pdf_graficos,1987,BR,,,,serie_1985_2023,agua,ocorrencias,19,n,
BR,atlas_pdf_graficos,1987,BR,,,,serie_1985_2023,trab_escravo,ocorrencias,31,n,
BR,atlas_pdf_graficos,1987,BR,,,,serie_1985_2023,viol_pessoa,total,608,n,
BR,atlas_pdf_graficos,1988,BR,,,,serie_1985_2023,ocorrencias_campo,total,674,n,
BR,atlas_pdf_graficos,1988,BR,,,,serie_1985_2023,localidades,total,251,n,
BR,atlas_pdf_graficos,1988,BR,,,,serie_1985_2023,terra,ocorrencias,649,n,
BR,atlas_pdf_graficos,1988,BR,,,,serie_1985_2023,agua,ocorrencias,8,n,
BR,atlas_pdf_graficos,1988,BR,,,,serie_1985_2023,trab_escravo,ocorrencias,17,n,
BR,atlas_pdf_graficos,1988,BR,,,,serie_1985_2023,viol_pessoa,total,388,n,
BR,atlas_pdf_graficos,1989,BR,,,,serie_1985_2023,ocorrencias_campo,total,601,n,
BR,atlas_pdf_graficos,1989,BR,,,,serie_1985_2023,localidades,total,218,n,
BR,atlas_pdf_graficos,1989,BR,,,,serie_1985_2023,terra,ocorrencias,582,n,
BR,atlas_pdf_graficos,1989,BR,,,,serie_1985_2023,agua,ocorrencias,1,n,
BR,atlas_pdf_graficos,1989,BR,,,,serie_1985_2023,trab_escravo,ocorrencias,18,n,
BR,atlas_pdf_graficos,1989,BR,,,,serie_1985_2023,viol_pessoa,total,409,n,
BR,atlas_pdf_graficos,1990,BR,,,,serie_1985_2023,ocorrencias_campo,total,596,n,
BR,atlas_pdf_graficos,1990,BR,,,,serie_1985_2023,localidades,total,202,n,
BR,atlas_pdf_graficos,1990,BR,,,,serie_1985_2023,terra,ocorrencias,569,n,
BR,atlas_pdf_graficos,1990,BR,,,,serie_1985_2023,agua,ocorrencias,4,n,
BR,atlas_pdf_graficos,1990,BR,,,,serie_1985_2023,trab_escravo,ocorrencias,25,n,
BR,atlas_pdf_graficos,1990,BR,,,,serie_1985_2023,viol_pessoa,total,408,n,
BR,atlas_pdf_graficos,1991,BR,,,,serie_1985_2023,ocorrencias_campo,total,661,n,
BR,atlas_pdf_graficos,1991,BR,,,,serie_1985_2023,localidades,total,180,n,
BR,atlas_pdf_graficos,1991,BR,,,,serie_1985_2023,terra,ocorrencias,632,n,
BR,atlas_pdf_graficos,1991,BR,,,,serie_1985_2023,agua,ocorrencias,3,n,
BR,atlas_pdf_graficos,1991,BR,,,,serie_1985_2023,trab_escravo,ocorrencias,26,n,
