uf,estado,ocorrencias_1985_2023,ranking
PA,Para,6806,1
MA,Maranhao,4593,2
BA,Bahia,4042,3
PE,Pernambuco,3310,4
MG,Minas Gerais,3130,5
SP,Sao Paulo,2672,6
MT,Mato Grosso,2429,7
PR,Parana,2285,8
MS,Mato Grosso do Sul,2075,9
RO,Rondonia,1979,10
TO,Tocantins,1899,11
GO,Goias,1616,12
AP,Amapa,1188,13
PB,Paraiba,1159,14
AL,Alagoas,1148,15
AM,Amazonas,1130,16
AC,Acre,1104,17
RS,Rio Grande do Sul,1042,18
PI,Piaui,1025,19
SC,Santa Catarina,844,20
CE,Ceara,669,21
ES,Espirito Santo,605,22
RJ,Rio de Janeiro,598,23
SE,Sergipe,481,24
RR,Roraima,480,25
RN,Rio Grande do Norte,408,26
DF,Distrito Federal,184,27
